"year","length_cm","proportion","ridge_height"
1998,37,0.02260189,0.0972579426415458
1998,38,0.01224106,0.0526743697695954
1998,39,0.005350358,0.0230230662778969
1998,40,0.003648876,0.0157014379201966
1998,41,0.004124617,0.0177485937505379
1998,42,0.001866445,0.00803147881675382
1998,43,0.00174617,0.0075139247957754
1998,44,0.0005388151,0.00231856929178041
1998,45,0,0
1998,46,0,0
1998,47,0,0
1998,48,0.0004736977,0.0020383633287319
1998,49,3.702758e-05,0.000159332969578883
1998,50,0,0
2000,10,0.05285405,0.302109805212695
2000,11,0.04930214,0.281807352737757
2000,12,0.03567852,0.203935757571601
2000,13,0.02349671,0.134305440760721
2000,14,0.02505156,0.143192847319631
2000,15,0.033038,0.188842742318082
2000,16,0.02753978,0.157415327139557
2000,17,0.003091376,0.0176700745013713
2000,18,0,0
2000,19,0.0001509839,0.000863012704215724
2000,20,0.0007695732,0.00439882297664816
2000,21,0.005081643,0.0290462921363728
2000,22,0.02555789,0.146086991811365
2000,23,0.06831041,0.39045720543836
2000,24,0.1488361,0.850736039709677
2000,25,0.1749498,1
2000,26,0.1286153,0.735155456022242
2000,27,0.08923045,0.510034592780329
2000,28,0.05890754,0.33671110227048
2000,29,0.02984327,0.170581904066195
2000,30,0.01044013,0.0596750039154089
2000,31,0.003572065,0.0204176569507367
2000,32,0.002699917,0.0154325240726197
2000,33,0.001936101,0.0110666088215019
2000,34,0.0003420034,0.00195486591010679
2000,35,0.0001813377,0.0010365127596602
2000,36,0.0004372515,0.0024992969411797
2000,37,8.608962e-05,0.000492081842905794
2000,38,0,0
2000,39,0,0
2000,40,0,0
2000,41,0,0
2000,42,0,0
2000,43,0,0
2000,44,0,0
2000,45,0,0
2000,46,0,0
2000,47,0,0
2000,48,0,0
2000,49,0,0
2000,50,0,0
2001,10,0,0
2001,11,0,0
2001,12,0,0
2001,13,0.001366145,0.0106752679668899
2001,14,0.00200736,0.0156858209824111
2001,15,0.003708372,0.0289777913917712
2001,16,0.03519319,0.275005020594204
