row_id	cm	value	cum_value	total	cum_prop
Row 05	33	10706.76339	35490.74025943	101808.54461497	0.348602766041422
Row 05	34	11308.81313	46799.55338943	101808.54461497	0.459681980195487
Row 05	35	9354.682384	56154.23577343	101808.54461497	0.551567022058904
Row 05	36	6446.171021	62600.40679443	101808.54461497	0.614883623287011
Row 05	37	5629.473758	68229.88055243	101808.54461497	0.670178331401051
Row 05	38	5305.563105	73535.44365743	101808.54461497	0.72229147303435
Row 05	39	4490.733764	78026.17742143	101808.54461497	0.766401068952684
Row 05	40	4024.690735	82050.86815643	101808.54461497	0.805933023271656
Row 05	41	3100.699769	85151.56792543	101808.54461497	0.836389207285744
Row 05	42	2596.668484	87748.23640943	101808.54461497	0.861894615440043
Row 05	43	2221.137119	89969.37352843	101808.54461497	0.883711419986264
Row 05	44	1835.74824	91805.12176843	101808.54461497	0.901742796890262
Row 05	45	1792.900342	93598.02211043	101808.54461497	0.919353306389052
Row 05	46	1642.673737	95240.69584743	101808.54461497	0.935488236352077
Row 05	47	1559.447672	96800.14351943	101808.54461497	0.950805690087396
Row 05	48	1223.947628	98024.09114743	101808.54461497	0.962827742191459
Row 05	49	1178.774612	99202.86575943	101808.54461497	0.974406088748303
Row 05	50	532.1970755	99735.06283493	101808.54461497	0.979633519093297
Row 05	51	674.7716896	100409.83452453	101808.54461497	0.986261368377971
Row 05	52	513.2180394	100923.05256393	101808.54461497	0.991302379830801
Row 05	53	321.5360251	101244.58858903	101808.54461497	0.994460621865554
Row 05	54	365.4482056	101610.03679463	101808.54461497	0.998050185069527
Row 05	55	90.71603449	101700.75282912	101808.54461497	0.998941230460983
Row 05	56	68.23624596	101768.98907508	101808.54461497	0.999611471315698
Row 05	57	24.89872368	101793.88779876	101808.54461497	0.99985603550011
Row 05	58	7.670878522	101801.558677282	101808.54461497	0.999931381617187
Row 05	59	2.300462259	101803.859139541	101808.54461497	0.999953977581678
Row 05	60	0.47772134	101804.336860881	101808.54461497	0.999958669931832
Row 05	61	2.261816119	101806.598677	101808.54461497	0.99998088630009
Row 05	62	1.136731119	101807.735408119	101808.54461497	0.999992051680396
Row 05	63	0.809206851	101808.54461497	101808.54461497	1
Row 05	64	0	101808.54461497	101808.54461497	1
Row 05	65	0	101808.54461497	101808.54461497	1
Row 05	66	0	101808.54461497	101808.54461497	1
Row 05	67	0	101808.54461497	101808.54461497	1
Row 05	68	0	101808.54461497	101808.54461497	1
Row 05	69	0	101808.54461497	101808.54461497	1
Row 05	70	0	101808.54461497	101808.54461497	1
Row 05	71	0	101808.54461497	101808.54461497	1
Row 05	72	0	101808.54461497	101808.54461497	1
Row 05	73	0	101808.54461497	101808.54461497	1
Row 05	74	0	101808.54461497	101808.54461497	1
Row 05	75	0	101808.54461497	101808.54461497	1
Row 05	76	0	101808.54461497	101808.54461497	1
Row 05	77	0	101808.54461497	101808.54461497	1
Row 05	78	0	101808.54461497	101808.54461497	1
Row 05	79	0	101808.54461497	101808.54461497	1
Row 05	80	0	101808.54461497	101808.54461497	1
Row 05	81	0	101808.54461497	101808.54461497	1
Row 05	82	0	101808.54461497	101808.54461497	1
Row 05	83	0	101808.54461497	101808.54461497	1
Row 05	84	0	101808.54461497	101808.54461497	1
Row 05	85	0	101808.54461497	101808.54461497	1
Row 05	86	0	101808.54461497	101808.54461497	1
Row 05	87	0	101808.54461497	101808.54461497	1
Row 05	88	0	101808.54461497	101808.54461497	1
Row 05	89	0	101808.54461497	101808.54461497	1
Row 05	90	0	101808.54461497	101808.54461497	1
Row 06	5	0	0	1595896.50610201	0
Row 06	6	0.003269811	0.003269811	1595896.50610201	2.04888662109207e-09
Row 06	7	0.027723659	0.03099347	1595896.50610201	1.94207267711249e-08
Row 06	8	0	0.03099347	1595896.50610201	1.94207267711249e-08
Row 06	9	0	0.03099347	1595896.50610201	1.94207267711249e-08
Row 06	10	47.86430627	47.89529974	1595896.50610201	3.00115324251098e-05
Row 06	11	54.08309792	101.97839766	1595896.50610201	6.39003828068293e-05
Row 06	12	1430.904554	1532.88295166	1595896.50610201	0.000960515262611907
Row 06	13	765.4186294	2298.30158106	1595896.50610201	0.0014401319711349
Row 06	14	0	2298.30158106	1595896.50610201	0.0014401319711349
Row 06	15	450.3600183	2748.66159936	1595896.50610201	0.00172233073313358
Row 06	16	965.4871558	3714.14875516	1595896.50610201	0.00232731179055704
Row 06	17	803.1746069	4517.32336206	1595896.50610201	0.00283058666071874
Row 06	18	2212.305393	6729.62875506	1595896.50610201	0.00421683281423879
Row 06	19	6852.217438	13581.84619306	1595896.50610201	0.00851048056132019
Row 06	20	19647.09902	33228.94521306	1595896.50610201	0.0208214912972157
Row 06	21	33963.22232	67192.16753306	1595896.50610201	0.0421030858054682
Row 06	22	34384.26934	101576.43687306	1595896.50610201	0.063648511344361
Row 06	23	22340.41172	123916.84859306	1595896.50610201	0.0776471708029035
Row 06	24	26911.63075	150828.47934306	1595896.50610201	0.0945101883275999
Row 06	25	48671.36983	199499.84917306	1595896.50610201	0.125008011741526
Row 06	26	150376.3676	349876.21677306	1595896.50610201	0.219234903664044
