year	cm	value	prop	cum_prop	total
2000	27	167334.7703	0.105472156391269	0.815619152130189	1586530.2846302
2000	28	154155.4421	0.0971651430756847	0.912784295205874	1586530.2846302
2000	29	90572.73553	0.0570885638978593	0.969872859103734	1586530.2846302
2000	30	34821.68889	0.0219483291477897	0.991821188251523	1586530.2846302
2000	31	9730.666758	0.00613330035503741	0.997954488606561	1586530.2846302
2000	32	1942.438151	0.00122433096286766	0.999178819569428	1586530.2846302
2000	33	378.344867	0.000238473145243608	0.999417292714672	1586530.2846302
2000	34	167.8293432	0.000105783888795491	0.999523076603467	1586530.2846302
2000	35	91.98927486	5.79814175318069e-05	0.999581058020999	1586530.2846302
2000	36	145.4571709	9.16825681231193e-05	0.999672740589122	1586530.2846302
2000	37	250.3278056	0.000157783187642301	0.999830523776764	1586530.2846302
2000	38	131.1527478	8.2666400427755e-05	0.999913190177192	1586530.2846302
2000	39	94.35914043	5.94751586806262e-05	0.999972665335873	1586530.2846302
2000	40	24.54550004	1.54711827929092e-05	0.999988136518666	1586530.2846302
2000	41	9.360869094	5.90021456551137e-06	0.999994036733231	1586530.2846302
2000	42	3.597981325	2.26783022035955e-06	0.999996304563452	1586530.2846302
2000	43	1.689232502	1.06473385246077e-06	0.999997369297304	1586530.2846302
2000	44	1.522371103	9.59560064972127e-07	0.999998328857369	1586530.2846302
2000	45	0.777139291	4.89835774664171e-07	0.999998818693144	1586530.2846302
2000	46	0.595817752	3.75547670140364e-07	0.999999194240814	1586530.2846302
2000	47	0.312222762	1.96795967290833e-07	0.999999391036781	1586530.2846302
2000	48	0.037940113	2.39138914444633e-08	0.999999414950673	1586530.2846302
2000	49	0.012878754	8.11755951006122e-09	0.999999423068232	1586530.2846302
2000	50	0.708679536	4.46685161238624e-07	0.999999869753393	1586530.2846302
2000	51	0.206640186	1.30246606700083e-07	1	1586530.2846302
2000	52	0	0	1	1586530.2846302
2000	53	0	0	1	1586530.2846302
2000	54	0	0	1	1586530.2846302
2000	55	0	0	1	1586530.2846302
2000	56	0	0	1	1586530.2846302
2000	57	0	0	1	1586530.2846302
2000	58	0	0	1	1586530.2846302
2000	59	0	0	1	1586530.2846302
2000	60	0	0	1	1586530.2846302
2000	61	0	0	1	1586530.2846302
2000	62	0	0	1	1586530.2846302
2000	63	0	0	1	1586530.2846302
2000	64	0	0	1	1586530.2846302
2000	65	0	0	1	1586530.2846302
2000	66	0	0	1	1586530.2846302
2000	67	0	0	1	1586530.2846302
2000	68	0	0	1	1586530.2846302
2000	69	0	0	1	1586530.2846302
2000	70	0	0	1	1586530.2846302
2000	71	0	0	1	1586530.2846302
2000	72	0	0	1	1586530.2846302
2000	73	0	0	1	1586530.2846302
2000	74	0	0	1	1586530.2846302
2000	75	0	0	1	1586530.2846302
2000	76	0	0	1	1586530.2846302
2000	77	0	0	1	1586530.2846302
2000	78	0	0	1	1586530.2846302
2000	79	0	0	1	1586530.2846302
2000	80	0	0	1	1586530.2846302
2000	81	0	0	1	1586530.2846302
2000	82	0	0	1	1586530.2846302
2000	83	0	0	1	1586530.2846302
2000	84	0	0	1	1586530.2846302
2000	85	0	0	1	1586530.2846302
2000	86	0	0	1	1586530.2846302
2000	87	0	0	1	1586530.2846302
2000	88	0	0	1	1586530.2846302
2000	89	0	0	1	1586530.2846302
2000	90	0	0	1	1586530.2846302
2001	5	0	0	0	3471874.43237479
2001	6	0	0	0	3471874.43237479
2001	7	0	0	0	3471874.43237479
2001	8	54.99489294	1.58401157677765e-05	1.58401157677765e-05	3471874.43237479
2001	9	136.2916912	3.9255939076914e-05	5.50960548446905e-05	3471874.43237479
2001	10	89.80905125	2.58675977485078e-05	8.09636525931983e-05	3471874.43237479
2001	11	208.6936633	6.01097958364963e-05	0.000141073448429695	3471874.43237479
2001	12	4570.505998	0.00131643758638867	0.00145751103481836	3471874.43237479
2001	13	6718.155557	0.00193502261900778	0.00339253365382614	3471874.43237479
2001	14	4371.885623	0.00125922918819665	0.00465176284202279	3471874.43237479
2001	15	1934.03832	0.000557058833109094	0.00520882167513188	3471874.43237479
2001	16	1622.923051	0.000467448659970662	0.00567627033510254	3471874.43237479
2001	17	2181.504722	0.000628336296283571	0.00630460663138611	3471874.43237479
2001	18	2139.832494	0.000616333492377009	0.00692094012376312	3471874.43237479
2001	19	4728.687124	0.00136199831419754	0.00828293843796066	3471874.43237479
2001	20	20492.74694	0.00590250233387121	0.0141854407718319	3471874.43237479
2001	21	61195.38013	0.017626034962371	0.0318114757342029	3471874.43237479
2001	22	153720.0562	0.0442758110047356	0.0760872867389385	3471874.43237479
2001	23	298060.7437	0.085850093229358	0.161937379968296	3471874.43237479
2001	24	436289.9752	0.125664099810653	0.287601479778949	3471874.43237479
2001	25	519145.5413	0.149528893228117	0.437130373007067	3471874.43237479
2001	26	626854.7648	0.180552257004072	0.617682630011139	3471874.43237479
2001	27	653676.5562	0.188277706735171	0.80596033674631	3471874.43237479
2001	28	406133.6541	0.116978209324869	0.922938546071179	3471874.43237479
2001	29	191205.9665	0.0550728346385539	0.978011380709733	3471874.43237479
2001	30	56964.43257	0.0164074000023774	0.994418780712111	3471874.43237479
2001	31	14647.9766	0.00421903985449746	0.998637820566608	3471874.43237479
2001	32	3874.48354	0.00111596303825707	0.999753783604865	3471874.43237479
2001	33	488.018022	0.000140563269641694	0.999894346874507	3471874.43237479
2001	34	125.6602985	3.61937912639448e-05	0.999930540665771	3471874.43237479
2001	35	188.6376842	5.43330952412845e-05	0.999984873761012	3471874.43237479
2001	36	52.5164024	1.51262389878767e-05	1	3471874.43237479
2001	37	0	0	1	3471874.43237479
2001	38	0	0	1	3471874.43237479
2001	39	0	0	1	3471874.43237479
2001	40	0	0	1	3471874.43237479
2001	41	0	0	1	3471874.43237479
2001	42	0	0	1	3471874.43237479
2001	43	0	0	1	3471874.43237479
2001	44	0	0	1	3471874.43237479
2001	45	0	0	1	3471874.43237479
2001	46	0	0	1	3471874.43237479
2001	47	0	0	1	3471874.43237479
2001	48	0	0	1	3471874.43237479
2001	49	0	0	1	3471874.43237479
2001	50	0	0	1	3471874.43237479
2001	51	0	0	1	3471874.43237479
2001	52	0	0	1	3471874.43237479
2001	53	0	0	1	3471874.43237479
2001	54	0	0	1	3471874.43237479
2001	55	0	0	1	3471874.43237479
2001	56	0	0	1	3471874.43237479
2001	57	0	0	1	3471874.43237479
2001	58	0	0	1	3471874.43237479
2001	59	0	0	1	3471874.43237479
2001	60	0	0	1	3471874.43237479
2001	61	0	0	1	3471874.43237479
2001	62	0	0	1	3471874.43237479
2001	63	0	0	1	3471874.43237479
2001	64	0	0	1	3471874.43237479
2001	65	0	0	1	3471874.43237479
2001	66	0	0	1	3471874.43237479
2001	67	0	0	1	3471874.43237479
2001	68	0	0	1	3471874.43237479
2001	69	0	0	1	3471874.43237479
2001	70	0	0	1	3471874.43237479
2001	71	0	0	1	3471874.43237479
2001	72	0	0	1	3471874.43237479
2001	73	0	0	1	3471874.43237479
2001	74	0	0	1	3471874.43237479
2001	75	0	0	1	3471874.43237479
2001	76	0	0	1	3471874.43237479
2001	77	0	0	1	3471874.43237479
2001	78	0	0	1	3471874.43237479
2001	79	0	0	1	3471874.43237479
2001	80	0	0	1	3471874.43237479
2001	81	0	0	1	3471874.43237479
2001	82	0	0	1	3471874.43237479
2001	83	0	0	1	3471874.43237479
2001	84	0	0	1	3471874.43237479
2001	85	0	0	1	3471874.43237479
2001	86	0	0	1	3471874.43237479
2001	87	0	0	1	3471874.43237479
2001	88	0	0	1	3471874.43237479
2001	89	0	0	1	3471874.43237479
2001	90	0	0	1	3471874.43237479
2002	5	0	0	0	545005.613487886
2002	6	0	0	0	545005.613487886
2002	7	0	0	0	545005.613487886
2002	8	0	0	0	545005.613487886
2002	9	3.764141379	6.90661029142531e-06	6.90661029142531e-06	545005.613487886
2002	10	10.84987647	1.99078251700267e-05	2.6814435461452e-05	545005.613487886
2002	11	10.84987647	1.99078251700267e-05	4.67222606314788e-05	545005.613487886
2002	12	153.3900043	0.00028144665028007	0.000328168910911549	545005.613487886
2002	13	293.8516498	0.000539171785625161	0.00086734069653671	545005.613487886
2002	14	182.0213465	0.000333980682024747	0.00120132137856146	545005.613487886
2002	15	113.4662379	0.000208192787545521	0.00140951416610698	545005.613487886
2002	16	87.53340978	0.00016061010678369	0.00157012427289067	545005.613487886
2002	17	35.04364047	6.42995954587152e-05	0.00163442386834938	545005.613487886
2002	18	134.5841727	0.000246940892661083	0.00188136476101047	545005.613487886
2002	19	763.5244536	0.00140094787045156	0.00328231263146203	545005.613487886
2002	20	2496.329273	0.00458037350665836	0.00786268613812039	545005.613487886
2002	21	7236.934199	0.0132786415770759	0.0211413277151963	545005.613487886
2002	22	15244.20146	0.027970723755378	0.0491120514705743	545005.613487886
2002	23	18957.51832	0.034784079009163	0.0838961304797373	545005.613487886
2002	24	15612.35854	0.0286462343756153	0.112542364855353	545005.613487886
2002	25	11212.8669	0.0205738557961646	0.133116220651517	545005.613487886
2002	26	18127.08697	0.0332603674556517	0.166376588107169	545005.613487886
2002	27	54592.02906	0.100167828934139	0.266544417041308	545005.613487886
2002	28	101469.2523	0.186180196660039	0.452724613701347	545005.613487886
2002	29	108745.3297	0.19953065988451	0.652255273585857	545005.613487886
2002	30	93429.65541	0.171428794672546	0.823684068258403	545005.613487886
2002	31	57871.23881	0.106184665584708	0.929868733843112	545005.613487886
2002	32	24086.44432	0.04419485547287	0.974063589315982	545005.613487886
2002	33	8198.978793	0.0150438428340743	0.989107432150056	545005.613487886
2002	34	3665.705632	0.00672599610220616	0.995833428252262	545005.613487886
2002	35	1638.816664	0.00300697208146541	0.998840400333728	545005.613487886
2002	36	502.594954	0.000922183077681586	0.999762583411409	545005.613487886
2002	37	122.2338005	0.000224279892674384	0.999986863304084	545005.613487886
2002	38	7.139744366	1.31003134450444e-05	0.999999963617529	545005.613487886
2002	39	0.019828651	3.63824711329156e-08	1	545005.613487886
2002	40	0	0	1	545005.613487886
2002	41	0	0	1	545005.613487886
2002	42	0	0	1	545005.613487886
2002	43	0	0	1	545005.613487886
2002	44	0	0	1	545005.613487886
2002	45	0	0	1	545005.613487886
2002	46	0	0	1	545005.613487886
2002	47	0	0	1	545005.613487886
2002	48	0	0	1	545005.613487886
2002	49	0	0	1	545005.613487886
2002	50	0	0	1	545005.613487886
2002	51	0	0	1	545005.613487886
2002	52	0	0	1	545005.613487886
2002	53	0	0	1	545005.613487886
2002	54	0	0	1	545005.613487886
2002	55	0	0	1	545005.613487886
2002	56	0	0	1	545005.613487886
2002	57	0	0	1	545005.613487886
2002	58	0	0	1	545005.613487886
2002	59	0	0	1	545005.613487886
2002	60	0	0	1	545005.613487886
2002	61	0	0	1	545005.613487886
2002	62	0	0	1	545005.613487886
2002	63	0	0	1	545005.613487886
2002	64	0	0	1	545005.613487886
2002	65	0	0	1	545005.613487886
2002	66	0	0	1	545005.613487886
2002	67	0	0	1	545005.613487886
2002	68	0	0	1	545005.613487886
2002	69	0	0	1	545005.613487886
2002	70	0	0	1	545005.613487886
2002	71	0	0	1	545005.613487886
2002	72	0	0	1	545005.613487886
2002	73	0	0	1	545005.613487886
2002	74	0	0	1	545005.613487886
2002	75	0	0	1	545005.613487886
2002	76	0	0	1	545005.613487886
2002	77	0	0	1	545005.613487886
2002	78	0	0	1	545005.613487886
2002	79	0	0	1	545005.613487886
2002	80	0	0	1	545005.613487886
2002	81	0	0	1	545005.613487886
2002	82	0	0	1	545005.613487886
2002	83	0	0	1	545005.613487886
2002	84	0	0	1	545005.613487886
2002	85	0	0	1	545005.613487886
2002	86	0	0	1	545005.613487886
2002	87	0	0	1	545005.613487886
2002	88	0	0	1	545005.613487886
2002	89	0	0	1	545005.613487886
2002	90	0	0	1	545005.613487886
2003	5	0	0	0	876920.781586248
2003	6	0	0	0	876920.781586248
2003	7	0	0	0	876920.781586248
2003	8	0	0	0	876920.781586248
2003	9	0	0	0	876920.781586248
2003	10	0	0	0	876920.781586248
2003	11	0	0	0	876920.781586248
2003	12	0	0	0	876920.781586248
2003	13	0.623118145	7.105751831686e-07	7.105751831686e-07	876920.781586248
2003	14	10.40276687	1.1862835376284e-05	1.25734105594526e-05	876920.781586248
2003	15	353.9871536	0.000403670617726356	0.000416244028285809	876920.781586248
2003	16	1846.71134	0.00210590440867362	0.00252214843695943	876920.781586248
2003	17	4525.820885	0.00516103732518839	0.00768318576214782	876920.781586248
2003	18	10342.29851	0.0117938800484258	0.0194770658105736	876920.781586248
2003	19	16527.20756	0.0188468649700651	0.0383239307806387	876920.781586248
2003	20	30908.95959	0.035247151440623	0.0735710822212618	876920.781586248
2003	21	55569.87392	0.0633693203386976	0.136940402559959	876920.781586248
2003	22	73751.61633	0.0841029405148683	0.221043343074828	876920.781586248
2003	23	66039.23592	0.0753080977286713	0.296351440803499	876920.781586248
2003	24	53769.01532	0.0613157042791688	0.357667145082668	876920.781586248
2003	25	58749.85527	0.0669956243524396	0.424662769435107	876920.781586248
2003	26	81598.57781	0.0930512533439995	0.517714022779107	876920.781586248
2003	27	91529.5083	0.104376028282091	0.622090051061198	876920.781586248
2003	28	65841.07151	0.0750821201784055	0.697172171239604	876920.781586248
2003	29	45400.73566	0.051772904250114	0.748945075489718	876920.781586248
2003	30	37242.95445	0.0424701469414738	0.791415222431192	876920.781586248
2003	31	32653.36014	0.03723638534479	0.828651607775982	876920.781586248
2003	32	36807.36249	0.0419734179676068	0.870625025743588	876920.781586248
2003	33	43457.85001	0.0495573270956013	0.92018235283919	876920.781586248
2003	34	35446.59288	0.0404216590874733	0.960604011926663	876920.781586248
2003	35	20532.98789	0.023414872039933	0.984018883966596	876920.781586248
2003	36	9243.403283	0.0105407506323202	0.994559634598916	876920.781586248
2003	37	3631.334101	0.00414100586649496	0.998700640465411	876920.781586248
2003	38	934.8286475	0.00106603545853823	0.99976667592395	876920.781586248
2003	39	127.4666753	0.000145357115461932	0.999912033039411	876920.781586248
2003	40	48.9924554	5.58687357270497e-05	0.999967901775139	876920.781586248
2003	41	23.39492968	2.6678498413142e-05	0.999994580273552	876920.781586248
2003	42	4.752670753	5.41972644826933e-06	1	876920.781586248
2003	43	0	0	1	876920.781586248
2003	44	0	0	1	876920.781586248
2003	45	0	0	1	876920.781586248
2003	46	0	0	1	876920.781586248
2003	47	0	0	1	876920.781586248
2003	48	0	0	1	876920.781586248
2003	49	0	0	1	876920.781586248
2003	50	0	0	1	876920.781586248
2003	51	0	0	1	876920.781586248
2003	52	0	0	1	876920.781586248
2003	53	0	0	1	876920.781586248
2003	54	0	0	1	876920.781586248
2003	55	0	0	1	876920.781586248
2003	56	0	0	1	876920.781586248
2003	57	0	0	1	876920.781586248
2003	58	0	0	1	876920.781586248
2003	59	0	0	1	876920.781586248
2003	60	0	0	1	876920.781586248
2003	61	0	0	1	876920.781586248
2003	62	0	0	1	876920.781586248
2003	63	0	0	1	876920.781586248
2003	64	0	0	1	876920.781586248
2003	65	0	0	1	876920.781586248
2003	66	0	0	1	876920.781586248
2003	67	0	0	1	876920.781586248
2003	68	0	0	1	876920.781586248
2003	69	0	0	1	876920.781586248
2003	70	0	0	1	876920.781586248
2003	71	0	0	1	876920.781586248
2003	72	0	0	1	876920.781586248
2003	73	0	0	1	876920.781586248
2003	74	0	0	1	876920.781586248
2003	75	0	0	1	876920.781586248
2003	76	0	0	1	876920.781586248
2003	77	0	0	1	876920.781586248
2003	78	0	0	1	876920.781586248
2003	79	0	0	1	876920.781586248
2003	80	0	0	1	876920.781586248
2003	81	0	0	1	876920.781586248
2003	82	0	0	1	876920.781586248
2003	83	0	0	1	876920.781586248
2003	84	0	0	1	876920.781586248
2003	85	0	0	1	876920.781586248
2003	86	0	0	1	876920.781586248
2003	87	0	0	1	876920.781586248
2003	88	0	0	1	876920.781586248
2003	89	0	0	1	876920.781586248
2003	90	0	0	1	876920.781586248
2004	5	0	0	0	479977.814906925
2004	6	0	0	0	479977.814906925
2004	7	0	0	0	479977.814906925
2004	8	0	0	0	479977.814906925
2004	9	0	0	0	479977.814906925
2004	10	0	0	0	479977.814906925
2004	11	0	0	0	479977.814906925
2004	12	0	0	0	479977.814906925
2004	13	0	0	0	479977.814906925
2004	14	0	0	0	479977.814906925
2004	15	0	0	0	479977.814906925
2004	16	0.449676301	9.36868928175772e-07	9.36868928175772e-07	479977.814906925
2004	17	52.73882322	0.00010987762680287	0.000110814495731046	479977.814906925
2004	18	545.1268394	0.00113573340781533	0.00124654790354638	479977.814906925
2004	19	1267.110554	0.00263993566920528	0.00388648357275166	479977.814906925
2004	20	961.6512043	0.00200353261011966	0.00589001618287131	479977.814906925
2004	21	1367.480077	0.00284904850709647	0.00873906468996778	479977.814906925
2004	22	2590.77329	0.00539769382987501	0.0141367585198428	479977.814906925
2004	23	2569.538324	0.00535345227257696	0.0194902107924198	479977.814906925
